	HMP_2012__SRS016541__bin.12	CM_cf__CF_TNFC048IS_t3M15__bin.10	HMP_2012__SRS045197__bin.65	HMP_2012__SRS014476__bin.16	HMP_2012__SRS013950__bin.23	CM_periimplantitis__SP_133SPT_T016__bin.2	HMP_2012__SRS011255__bin.46	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	HMP_2012__SRS047113__bin.78	HMP_2012__SRS016746__bin.2	CM_periimplantitis__SP_162SPI_T016__bin.5	CM_periimplantitis__SP_143SPI_T016__bin.33	HMP_2012__SRS023938__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.8	HMP_2012__SRS049318__bin.2	CM_periimplantitis__SP_502SPI_T016__bin.1	HMP_2012__SRS013170__bin.41	ZellerG_2014__CCIS14449628ST-4-0__bin.17	CM_periimplantitis__SP_287SPT_T016__bin.36	HMP_2012__SRS023964__bin.23	CM_periimplantitis__SP_163SPI_T016__bin.16	CM_periimplantitis__SP_201SPI_T016__bin.3	GeversD_2014__SKSTL0001__bin.9	CM_periimplantitis__SP_163SPT_T016__bin.32	HMP_2012__SRS017691__bin.60	CM_periimplantitis__SP_403SPT_T016__bin.4	CM_periimplantitis__SP_503SPT_T016__bin.9	HMP_2012__SRS019980__bin.24	CM_periimplantitis__SP_281SPI_T016__bin.25	HMP_2012__SRS014691__bin.17	HMP_2012__SRS017227__bin.83	CM_periimplantitis__SP_387SPT_T016__bin.3	HMP_2012__SRS024649__bin.3	HMP_2012__SRS022536__bin.41
HMP_2012__SRS016541__bin.12	3227405.0	2044204.0	1283095.0	1398082.0	2120611.0	1222462.0	2148042.0	2133835.0	1680502.0	1935387.0	1953846.0	2104391.0	2090173.0	1920387.0	1935651.0	2125938.0	2121295.0	1568372.0	2028121.0	2094415.0	1882963.0	2192076.0	1792442.0	1315783.0	1641391.0	2103864.0	2004440.0	1902711.0	2192404.0	1984473.0	2198921.0	1137090.0	2116911.0	1939085.0
CM_cf__CF_TNFC048IS_t3M15__bin.10	2044204.0	2636580.0	1332046.0	1486982.0	2288436.0	1408908.0	2235138.0	2324483.0	1741945.0	2110205.0	2155038.0	2259158.0	2225440.0	2087122.0	2095480.0	2342885.0	2310340.0	1704074.0	2190720.0	2308160.0	2076444.0	2262691.0	1932643.0	1446421.0	1790045.0	2281339.0	2201329.0	2069662.0	2347843.0	2137384.0	2270482.0	1260487.0	2362507.0	2104671.0
HMP_2012__SRS045197__bin.65	1283095.0	1332046.0	1484170.0	930960.0	1395849.0	778073.0	1390040.0	1373127.0	1135272.0	1273924.0	1315603.0	1363480.0	1347766.0	1263367.0	1304509.0	1388448.0	1381306.0	1035987.0	1335150.0	1374055.0	1282766.0	1407587.0	1175771.0	886124.0	1058608.0	1379311.0	1314737.0	1287273.0	1416351.0	1338217.0	1404674.0	783983.0	1398626.0	1278788.0
HMP_2012__SRS014476__bin.16	1398082.0	1486982.0	930960.0	1831296.0	1588902.0	906658.0	1544905.0	1552824.0	1228216.0	1479222.0	1500712.0	1548874.0	1584694.0	1515453.0	1479310.0	1573879.0	1575506.0	1201969.0	1500253.0	1557639.0	1460409.0	1564221.0	1376779.0	1032298.0	1224322.0	1531649.0	1511127.0	1457041.0	1613922.0	1540877.0	1553766.0	906874.0	1588867.0	1465328.0
HMP_2012__SRS013950__bin.23	2120611.0	2288436.0	1395849.0	1588902.0	2754576.0	1369808.0	2381443.0	2364081.0	1824491.0	2188450.0	2255812.0	2369833.0	2389099.0	2211344.0	2204799.0	2412152.0	2444705.0	1787279.0	2267020.0	2404353.0	2165382.0	2385158.0	2036795.0	1484774.0	1893345.0	2369905.0	2317742.0	2181263.0	2577890.0	2276499.0	2375517.0	1303918.0	2436116.0	2204946.0
CM_periimplantitis__SP_133SPT_T016__bin.2	1222462.0	1408908.0	778073.0	906658.0	1369808.0	1627752.0	1318795.0	1388565.0	1047517.0	1301016.0	1260260.0	1326006.0	1333298.0	1234098.0	1232212.0	1415372.0	1366148.0	1067492.0	1292693.0	1365815.0	1242783.0	1347314.0	1169321.0	888495.0	1123313.0	1338324.0	1298351.0	1212442.0	1445845.0	1254884.0	1349178.0	779405.0	1401081.0	1249211.0
HMP_2012__SRS011255__bin.46	2148042.0	2235138.0	1390040.0	1544905.0	2381443.0	1318795.0	2619863.0	2344825.0	1834224.0	2131708.0	2189039.0	2329774.0	2303945.0	2134601.0	2162265.0	2369360.0	2362819.0	1730256.0	2249283.0	2322760.0	2110525.0	2404111.0	1974460.0	1454191.0	1813871.0	2323383.0	2240069.0	2126122.0	2406019.0	2209192.0	2362402.0	1268488.0	2383913.0	2145144.0
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	2133835.0	2324483.0	1373127.0	1552824.0	2364081.0	1388565.0	2344825.0	2959023.0	1794523.0	2142138.0	2238274.0	2362214.0	2354992.0	2176359.0	2195893.0	2532178.0	2392708.0	1761703.0	2321439.0	2370161.0	2157500.0	2391439.0	2028001.0	1473912.0	1815728.0	2389207.0	2300171.0	2163968.0	2454805.0	2222156.0	2374764.0	1301266.0	2402029.0	2176857.0
HMP_2012__SRS047113__bin.78	1680502.0	1741945.0	1135272.0	1228216.0	1824491.0	1047517.0	1834224.0	1794523.0	2159939.0	1700838.0	1704494.0	1806935.0	1792336.0	1674994.0	1692524.0	1817160.0	1838213.0	1345334.0	1735629.0	1832535.0	1663769.0	1870820.0	1558346.0	1146301.0	1400868.0	1800310.0	1730468.0	1676326.0	1872359.0	1745557.0	1885814.0	1004208.0	1854832.0	1673610.0
HMP_2012__SRS016746__bin.2	1935387.0	2110205.0	1273924.0	1479222.0	2188450.0	1301016.0	2131708.0	2142138.0	1700838.0	2622608.0	2012189.0	2162314.0	2154140.0	1996438.0	1988203.0	2199815.0	2211582.0	1627663.0	2039793.0	2202536.0	1964586.0	2156870.0	1859395.0	1365942.0	1712653.0	2118535.0	2039885.0	1952825.0	2228218.0	2064556.0	2143069.0	1231723.0	2280243.0	2017594.0
CM_periimplantitis__SP_162SPI_T016__bin.5	1953846.0	2155038.0	1315603.0	1500712.0	2255812.0	1260260.0	2189039.0	2238274.0	1704494.0	2012189.0	2735389.0	2249230.0	2209122.0	2171170.0	2268791.0	2252642.0	2241171.0	1759569.0	2311798.0	2233624.0	2379067.0	2207066.0	1888489.0	1470108.0	1689112.0	2277795.0	2336983.0	2242338.0	2294624.0	2107160.0	2213181.0	1304375.0	2247813.0	2085759.0
CM_periimplantitis__SP_143SPI_T016__bin.33	2104391.0	2259158.0	1363480.0	1548874.0	2369833.0	1326006.0	2329774.0	2362214.0	1806935.0	2162314.0	2249230.0	2811231.0	2364622.0	2192311.0	2201123.0	2396238.0	2416915.0	1722896.0	2277866.0	2390591.0	2122569.0	2383388.0	2013130.0	1453102.0	1812537.0	2416637.0	2255259.0	2142415.0	2457102.0	2226787.0	2372637.0	1281183.0	2404563.0	2208341.0
HMP_2012__SRS023938__bin.1	2090173.0	2225440.0	1347766.0	1584694.0	2389099.0	1333298.0	2303945.0	2354992.0	1792336.0	2154140.0	2209122.0	2364622.0	2762793.0	2178406.0	2186624.0	2362188.0	2390746.0	1763687.0	2264645.0	2384925.0	2123637.0	2354351.0	2107863.0	1488723.0	1842757.0	2313880.0	2252175.0	2164802.0	2477647.0	2295398.0	2346109.0	1286161.0	2387199.0	2184354.0
CM_periimplantitis__SP_123SPT_T016__bin.8	1920387.0	2087122.0	1263367.0	1515453.0	2211344.0	1234098.0	2134601.0	2176359.0	1674994.0	1996438.0	2171170.0	2192311.0	2178406.0	2710920.0	2083414.0	2193851.0	2216752.0	1702182.0	2152019.0	2207168.0	2105183.0	2159359.0	1861382.0	1415044.0	1677441.0	2168698.0	2168672.0	2101116.0	2230463.0	2081277.0	2161132.0	1269932.0	2187333.0	2031872.0
HMP_2012__SRS049318__bin.2	1935651.0	2095480.0	1304509.0	1479310.0	2204799.0	1232212.0	2162265.0	2195893.0	1692524.0	1988203.0	2268791.0	2201123.0	2186624.0	2083414.0	2756391.0	2217611.0	2221636.0	1741114.0	2315899.0	2198504.0	2167601.0	2193840.0	1848652.0	1430184.0	1674524.0	2243903.0	2273860.0	2199895.0	2244817.0	2081684.0	2197933.0	1268509.0	2203973.0	2050563.0
CM_periimplantitis__SP_502SPI_T016__bin.1	2125938.0	2342885.0	1388448.0	1573879.0	2412152.0	1415372.0	2369360.0	2532178.0	1817160.0	2199815.0	2252642.0	2396238.0	2362188.0	2193851.0	2217611.0	2816530.0	2433772.0	1812724.0	2337982.0	2395434.0	2191118.0	2398806.0	2037968.0	1475346.0	1859412.0	2443238.0	2338773.0	2192897.0	2552234.0	2226149.0	2403207.0	1325450.0	2457303.0	2183509.0
HMP_2012__SRS013170__bin.41	2121295.0	2310340.0	1381306.0	1575506.0	2444705.0	1366148.0	2362819.0	2392708.0	1838213.0	2211582.0	2241171.0	2416915.0	2390746.0	2216752.0	2221636.0	2433772.0	2786479.0	1770677.0	2289966.0	2569495.0	2147568.0	2398287.0	2051774.0	1469449.0	1875721.0	2417652.0	2308467.0	2206416.0	2509227.0	2261768.0	2395597.0	1309439.0	2466506.0	2203977.0
ZellerG_2014__CCIS14449628ST-4-0__bin.17	1568372.0	1704074.0	1035987.0	1201969.0	1787279.0	1067492.0	1730256.0	1761703.0	1345334.0	1627663.0	1759569.0	1722896.0	1763687.0	1702182.0	1741114.0	1812724.0	1770677.0	2058561.0	1773455.0	1758344.0	1729165.0	1762344.0	1522319.0	1275745.0	1427502.0	1763486.0	1780572.0	1732965.0	1825448.0	1679427.0	1751388.0	1081903.0	1758124.0	1664999.0
CM_periimplantitis__SP_287SPT_T016__bin.36	2028121.0	2190720.0	1335150.0	1500253.0	2267020.0	1292693.0	2249283.0	2321439.0	1735629.0	2039793.0	2311798.0	2277866.0	2264645.0	2152019.0	2315899.0	2337982.0	2289966.0	1773455.0	2684401.0	2280261.0	2233934.0	2289144.0	1931650.0	1474654.0	1726080.0	2307401.0	2345125.0	2268914.0	2336266.0	2133330.0	2279288.0	1306535.0	2266219.0	2087934.0
HMP_2012__SRS023964__bin.23	2094415.0	2308160.0	1374055.0	1557639.0	2404353.0	1365815.0	2322760.0	2370161.0	1832535.0	2202536.0	2233624.0	2390591.0	2384925.0	2207168.0	2198504.0	2395434.0	2569495.0	1758344.0	2280261.0	2842476.0	2153205.0	2384945.0	2034869.0	1460797.0	1855205.0	2369701.0	2290069.0	2184729.0	2468010.0	2253466.0	2373080.0	1300533.0	2437675.0	2181476.0
CM_periimplantitis__SP_163SPI_T016__bin.16	1882963.0	2076444.0	1282766.0	1460409.0	2165382.0	1242783.0	2110525.0	2157500.0	1663769.0	1964586.0	2379067.0	2122569.0	2123637.0	2105183.0	2167601.0	2191118.0	2147568.0	1729165.0	2233934.0	2153205.0	2560028.0	2135093.0	1824386.0	1453129.0	1633521.0	2142057.0	2257953.0	2160191.0	2207725.0	2047638.0	2139765.0	1301886.0	2178486.0	1994318.0
CM_periimplantitis__SP_201SPI_T016__bin.3	2192076.0	2262691.0	1407587.0	1564221.0	2385158.0	1347314.0	2404111.0	2391439.0	1870820.0	2156870.0	2207066.0	2383388.0	2354351.0	2159359.0	2193840.0	2398806.0	2398287.0	1762344.0	2289144.0	2384945.0	2135093.0	2724470.0	2029570.0	1454553.0	1809832.0	2361656.0	2263620.0	2145634.0	2458684.0	2223585.0	2440260.0	1273034.0	2390441.0	2168472.0
GeversD_2014__SKSTL0001__bin.9	1792442.0	1932643.0	1175771.0	1376779.0	2036795.0	1169321.0	1974460.0	2028001.0	1558346.0	1859395.0	1888489.0	2013130.0	2107863.0	1861382.0	1848652.0	2037968.0	2051774.0	1522319.0	1931650.0	2034869.0	1824386.0	2029570.0	2402327.0	1296311.0	1611351.0	1974019.0	1901023.0	1841179.0	2125591.0	1948320.0	2015453.0	1111545.0	2052091.0	1866128.0
CM_periimplantitis__SP_163SPT_T016__bin.32	1315783.0	1446421.0	886124.0	1032298.0	1484774.0	888495.0	1454191.0	1473912.0	1146301.0	1365942.0	1470108.0	1453102.0	1488723.0	1415044.0	1430184.0	1475346.0	1469449.0	1275745.0	1474654.0	1460797.0	1453129.0	1454553.0	1296311.0	1612912.0	1259283.0	1455806.0	1472761.0	1427680.0	1498887.0	1433499.0	1458785.0	908317.0	1478826.0	1424851.0
HMP_2012__SRS017691__bin.60	1641391.0	1790045.0	1058608.0	1224322.0	1893345.0	1123313.0	1813871.0	1815728.0	1400868.0	1712653.0	1689112.0	1812537.0	1842757.0	1677441.0	1674524.0	1859412.0	1875721.0	1427502.0	1726080.0	1855205.0	1633521.0	1809832.0	1611351.0	1259283.0	2034174.0	1802502.0	1743268.0	1622984.0	1894216.0	1723571.0	1814972.0	1001527.0	1863148.0	1740932.0
CM_periimplantitis__SP_403SPT_T016__bin.4	2103864.0	2281339.0	1379311.0	1531649.0	2369905.0	1338324.0	2323383.0	2389207.0	1800310.0	2118535.0	2277795.0	2416637.0	2313880.0	2168698.0	2243903.0	2443238.0	2417652.0	1763486.0	2307401.0	2369701.0	2142057.0	2361656.0	1974019.0	1455806.0	1802502.0	2719583.0	2344838.0	2207227.0	2423899.0	2185462.0	2373318.0	1302800.0	2369156.0	2181739.0
CM_periimplantitis__SP_503SPT_T016__bin.9	2004440.0	2201329.0	1314737.0	1511127.0	2317742.0	1298351.0	2240069.0	2300171.0	1730468.0	2039885.0	2336983.0	2255259.0	2252175.0	2168672.0	2273860.0	2338773.0	2308467.0	1780572.0	2345125.0	2290069.0	2257953.0	2263620.0	1901023.0	1472761.0	1743268.0	2344838.0	2732667.0	2277685.0	2332874.0	2131197.0	2262933.0	1335840.0	2305937.0	2091575.0
HMP_2012__SRS019980__bin.24	1902711.0	2069662.0	1287273.0	1457041.0	2181263.0	1212442.0	2126122.0	2163968.0	1676326.0	1952825.0	2242338.0	2142415.0	2164802.0	2101116.0	2199895.0	2192897.0	2206416.0	1732965.0	2268914.0	2184729.0	2160191.0	2145634.0	1841179.0	1427680.0	1622984.0	2207227.0	2277685.0	2530020.0	2210727.0	2063920.0	2166035.0	1289210.0	2175249.0	2015449.0
