Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	100.00	99.99	99.99	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002432785_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	99.00	56.93	88.83	DJGS01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA5840 UBA5840_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002380045_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.34	57.42	85.38	DFVR01000013.1 TPA_asm: Pseudomonas stutzeri isolate UBA4155 UBA4155_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002307875_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.33	59.92	76.89	DBUK01000006.1 TPA_asm: Pseudomonas stutzeri isolate UBA1292 UBA1292_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002378715_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.31	48.97	60.26	DFRP01000007.1 TPA_asm: Pseudomonas stutzeri isolate UBA3460 UBA3460_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002455775_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.29	54.37	74.62	DKLN01000025.1 TPA_asm: Pseudomonas stutzeri isolate UBA6639 UBA6639_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002484325_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.28	51.92	52.28	DLJP01000023.1 TPA_asm: Pseudomonas stutzeri isolate UBA7613 UBA7613_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002385035_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.27	56.12	84.31	DGCT01000014.1 TPA_asm: Pseudomonas stutzeri isolate UBA3971 UBA3971_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002387495_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.25	55.92	85.33	DGJN01000011.1 TPA_asm: Pseudomonas stutzeri isolate UBA4595 UBA4595_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002413985_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.22	51.90	64.08	DHYF01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA5137 UBA5137_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002358225_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.21	53.76	67.50	DEOH01000037.1 TPA_asm: Pseudomonas stutzeri isolate UBA3423 UBA3423_contig_102, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002386665_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.21	52.30	69.14	DGJF01000079.1 TPA_asm: Pseudomonas stutzeri isolate UBA4603 UBA4603_contig_1021, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002403755_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.19	57.15	81.64	DHIJ01000046.1 TPA_asm: Pseudomonas stutzeri isolate UBA4749 UBA4749_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002380585_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.19	54.55	85.00	DFVM01000026.1 TPA_asm: Pseudomonas stutzeri isolate UBA4160 UBA4160_contig_124, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002338865_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.19	55.70	81.92	DDJG01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA1830 UBA1830_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002432145_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.18	50.44	68.02	DJFT01000033.1 TPA_asm: Pseudomonas stutzeri isolate UBA5865 UBA5865_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002482365_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.16	55.82	82.52	DLFV01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA7711 UBA7711_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002419685_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	98.16	52.55	66.58	DIGP01000060.1 TPA_asm: Pseudomonas stutzeri isolate UBA5719 UBA5719_contig_1001, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
